id,label,created,modified
1,"Very Easy","2011-06-16 16:24:56","2011-06-16 16:24:56"
2,Easy,"2011-06-16 16:24:56","2011-06-16 16:24:56"
3,Normal,"2011-06-16 16:24:56","2011-06-16 16:24:56"
4,Hard,"2011-06-16 16:24:56","2011-06-16 16:24:56"
